Agent_1,Agent_2,Clientes_en_común
87,2982,1
837,837,1
1185,6255,1
1388,13737,1
2041,7988,1
2553,87,1
3056,4647,1
3421,8677,1
3989,3649,1
3994,3413,1
4360,4360,1
4664,4215,1
4774,5297,1
4845,24492,1
5225,2553,1
6418,3422,1
7552,18315,1
8410,30621,5
9763,12010,1
10215,9183,1
10600,30282,1
12783,27593,1
14843,14843,1
15345,11625,1
15511,15511,1
15614,19119,1
17149,24492,1
17297,24593,1
18537,15171,1
19238,2476,1
19921,24184,1
21053,30621,1
21194,21194,1
29657,13042,1
30495,22205,1
30621,30621,1
30630,3122,1
