SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR,Cluster
80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,85,65,65,70,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,80,65,85,85,90,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,100,65,65,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,80,85,65,85,70,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,85,65,90,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,65,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,100,85,65,65,90,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,65,85,65,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,85,85,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,85,65,85,90,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,65,85,65,70,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,65,85,90,80,80,90,80,100,90,100,2
100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,65,65,85,70,80,80,90,80,100,90,100,2
80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,65,85,65,90,80,80,90,80,100,90,100,2
