Early_Retirement|Genero|Enfermedad|Educacion|Estado_Civil|Salario|Empleado|Dependientes|Tasa_desempleo|Mercado|Credit_score|Gov_Bonos|Probabilidad_Retiro_Temprano|Predicted_Early_Retirement
0|1|0|3|0|32000|0|1|5.02379729|42063.16667|639|5.414833333|0.07972816359111735|0
0|1|1|4|0|20000|0|2|5.35522049|30100.5|610|7.96275|0.3070100043401782|0
0|0|1|4|1|35000|1|1|3.84357001|24066.16667|649|7.715833333|0.040612095386955|0
0|0|1|3|0|27000|0|1|4.94922646|19439.0|638|8.024166667|0.03293162223885846|0
0|1|1|5|1|16000|0|2|5.77682986|27335.5|758|8.079916667|0.28262272969210617|0
0|0|0|3|0|26000|1|2|5.1950095|31577.33333|798|7.701083333|0.3675341443853812|0
0|1|0|4|1|16000|0|1|4.29406689|44425.83333|624|5.8425|0.17477994632125637|0
0|0|0|5|1|26000|1|3|4.34354688|27256.0|675|7.8225|0.6774750627104177|1
0|1|1|3|0|17000|1|1|5.24425019|36600.0|715|7.11|0.18639728118420457|0
0|0|0|1|1|20000|0|2|4.72142055|22755.0|712|7.940833333|0.4068416830069762|0
0|0|0|3|1|27800|0|1|4.53300508|44425.83333|635|5.8425|0.06244545540506501|0
0|1|1|3|1|27000|1|1|5.34449117|22755.0|770|7.940833333|0.11454921958986425|0
0|0|0|3|1|34000|1|2|4.82778981|41229.83333|777|5.91|0.26188175186110974|0
0|0|1|4|1|24000|0|2|4.87568406|44426.0|761|5.095083333|0.11189577268466798|0
0|1|0|3|0|26000|1|1|5.32080167|37332.5|706|7.508333333|0.2254076245427055|0
0|1|1|5|1|38000|1|3|5.59830462|36109.5|630|6.61|0.511381579292064|1
0|0|0|3|0|24000|0|3|6.74115103|27335.5|677|8.079916667|0.5838835252307739|1
0|0|0|5|1|22000|0|1|5.30387327|40216.83333|672|5.3995|0.04117742502892032|0
0|0|1|5|1|15000|0|2|4.31879538|13227.5|760|10.07416667|0.22083535011770766|0
0|0|1|5|0|31000|0|2|5.25041296|44437.16667|619|5.881666667|0.07618636321509085|0
0|0|1|5|1|20000|0|2|3.46916133|19520.66667|750|8.896666667|0.1775919517962027|0
0|0|1|4|1|17000|0|1|4.70796553|36093.16667|643|6.358333333|0.04523420532431001|0
0|0|1|4|1|19000|0|2|4.83260494|41912.16667|647|5.567416667|0.1547440063977844|0
0|1|0|4|0|24000|0|2|4.98532915|40216.83333|643|5.3995|0.3184083276182392|0
0|1|1|5|0|26000|1|1|4.26439053|21536.0|729|8.66|0.10152704379559112|0
0|0|1|3|1|19000|0|2|4.94922646|19439.0|740|8.024166667|0.19146975251309803|0
0|1|0|4|1|22000|0|2|5.02379729|42063.16667|607|5.414833333|0.36611332691099435|0
0|1|1|3|1|18000|0|2|3.76339417|29309.33333|633|7.521666667|0.41214890717425146|0
0|1|0|4|0|21000|0|2|4.92918489|41229.83333|603|5.91|0.38966688770599167|0
0|0|0|4|0|40000|1|1|5.11135844|32304.66667|752|7.193916667|0.04493553637339997|0
0|1|0|4|1|20000|0|1|5.02379729|42063.16667|754|5.414833333|0.11304208699689501|0
0|1|0|4|0|17000|0|1|4.75727494|40418.0|795|6.365083333|0.14488124554856457|0
0|1|1|4|1|31000|0|1|3.96172167|26982.33333|784|8.568333333|0.06441431897343372|0
0|1|1|3|1|17000|0|1|3.71008358|27256.0|745|7.8225|0.13424865300405933|0
0|0|0|4|0|39000|1|2|4.3|44555.83333|623|5.981666667|0.20959877236884522|0
0|1|1|5|1|16000|1|2|3.76339417|29309.33333|737|7.521666667|0.4687172630149344|0
0|0|0|3|1|27000|1|1|4.34354688|27256.0|754|7.8225|0.12041852538682866|0
0|1|1|5|1|23000|0|2|3.22742853|30804.0|784|8.431666667|0.30721517157734124|0
0|1|1|4|0|19000|0|2|3.58429637|13227.5|647|10.07416667|0.3994182680867732|0
0|1|0|4|1|24000|0|2|3.71008358|27256.0|717|7.8225|0.42866486004678483|0
0|0|0|4|0|25000|0|1|5.39200968|40243.16667|795|6.096666667|0.04457589106933449|0
0|0|0|3|1|37000|1|1|3.59050539|12789.0|742|9.910833333|0.09952011616086374|0
0|1|1|3|1|37000|1|1|4.94709939|36093.16667|767|6.358333333|0.07010200532992425|0
0|0|1|4|0|16000|1|2|5.30387327|40216.83333|723|5.3995|0.237635575223207|0
0|1|0|4|1|20000|0|1|4.2|43587.5|772|6.165|0.146252573116153|0
0|1|1|4|1|30000|0|1|5.14091293|40243.16667|737|6.096666667|0.045319826089490624|0
0|0|0|4|1|35000|1|2|5.39200968|40243.16667|694|6.096666667|0.21263543508304422|0
0|1|0|5|0|31000|0|1|4.3|44555.83333|629|5.981666667|0.07252443008225508|0
0|1|0|5|0|34000|1|1|5.4584248|32076.33333|728|6.318333333|0.07866399234737655|0
0|1|1|3|1|27000|1|1|4.92918489|41229.83333|752|5.91|0.11186536053239819|0
0|0|0|3|1|40000|1|1|5.39200968|40243.16667|697|6.096666667|0.0530929516672275|0
0|1|0|5|0|22000|0|1|3.76339417|29309.33333|784|7.521666667|0.11282895216180078|0
0|1|1|5|0|24000|0|2|4.78107286|39064.0|618|5.945|0.1930095194801767|0
0|0|0|4|1|16000|1|1|4.83260494|41912.16667|601|5.567416667|0.136040536377659|0
0|1|0|4|1|18000|0|1|4.26439053|21536.0|737|8.66|0.17817781869494198|0
0|0|0|4|0|16000|1|1|4.54175572|20563.0|726|8.315833333|0.14929872717598408|0
0|0|0|4|0|24000|0|1|4.54175572|20563.0|634|8.315833333|0.06261241572575334|0
0|1|1|4|1|20000|0|2|4.98532915|40216.83333|780|5.3995|0.23702478317960762|0
0|1|0|4|1|20000|0|2|4.2|43587.5|739|6.165|0.4468473592795815|0
0|0|1|4|0|16000|1|2|5.30387327|40216.83333|658|5.3995|0.24396689593308823|0
0|1|1|4|0|18000|0|1|3.76339417|29309.33333|632|7.521666667|0.10336960702229726|0
0|0|0|4|0|31000|0|3|5.74138196|32076.33333|710|6.318333333|0.39880255580592566|0
0|1|1|5|0|20000|0|1|5.4584248|32076.33333|622|6.318333333|0.05176631779206439|0
0|0|0|5|0|20000|0|2|5.25041296|44437.16667|644|5.881666667|0.20399976699602262|0
0|1|1|4|0|28000|1|2|4.94709939|36093.16667|693|6.358333333|0.3031060679041649|0
0|0|1|4|1|36000|1|1|5.83158683|35583.16667|752|6.431666667|0.026791514154263264|0
0|0|0|5|1|20000|0|2|4.32400469|14487.16667|697|8.983333333|0.2493186354356089|0
0|1|0|3|0|20000|0|1|3.22742853|30804.0|734|8.431666667|0.23062747818457702|0
0|0|1|3|0|24000|0|3|4.69723033|41661.66667|772|6.199|0.4567289181473132|0
0|0|1|3|0|18000|0|1|3.84357001|24066.16667|695|7.715833333|0.057892797205543384|0
0|1|0|4|1|18000|0|1|3.66114181|20563.0|684|8.315833333|0.18011662647878784|0
0|1|1|3|0|30000|1|1|5.36220735|35583.16667|793|6.431666667|0.08672518582372489|0
0|0|0|5|1|17000|0|2|5.83158683|35583.16667|719|6.431666667|0.21089792116686323|0
0|0|0|5|0|22000|0|1|3.84357001|24066.16667|690|7.715833333|0.05615493631772491|0
0|1|0|4|0|28000|1|1|4.28381716|42857.16667|676|5.604166667|0.15313666715427435|0
0|0|0|3|1|36000|1|2|5.74138196|32076.33333|749|6.318333333|0.20909803055711806|0
0|0|1|5|1|32000|0|1|4.32400469|14487.16667|688|8.983333333|0.02128620749900536|0
0|1|1|5|0|38000|1|3|5.14091293|40243.16667|637|6.096666667|0.5026727536947124|1
0|1|0|5|1|39000|1|1|4.58965589|41661.66667|724|6.199|0.08498989472968628|0
0|1|0|4|0|39000|1|2|5.59830462|36109.5|761|6.61|0.2978237983085411|0
0|1|0|4|0|15000|0|2|3.22742853|30804.0|654|8.431666667|0.6006803438557475|1
0|0|0|3|1|31000|0|2|3.46916133|19520.66667|768|8.896666667|0.2549171714329006|0
0|1|0|5|1|20000|0|1|3.66114181|20563.0|744|8.315833333|0.13444846980759437|0
0|0|1|3|0|19000|0|2|4.84510369|39064.0|767|5.945|0.17090126587491844|0
0|0|1|5|0|25000|0|4|6.74115103|27335.5|710|8.079916667|0.6860199031252059|1
0|0|1|4|0|34000|1|3|4.6|44100.16667|655|6.0575|0.4536271440824135|0
0|0|0|3|1|18000|0|3|5.30387327|40216.83333|743|5.3995|0.6248700163150294|1
0|0|0|5|1|18000|0|2|4.53300508|44425.83333|649|5.8425|0.24621525595133015|0
0|0|1|3|1|18000|0|3|4.98618179|42063.16667|644|5.414833333|0.5125318637230337|1
0|1|0|5|0|31000|0|2|5.23935845|44437.16667|722|5.881666667|0.2289853585415462|0
0|1|0|5|1|35000|1|2|2.93965649|19520.66667|699|8.896666667|0.4399331569171868|0
0|1|0|4|0|20000|0|1|5.19011599|32304.66667|756|7.193916667|0.12602113669329712|0
0|0|0|3|0|21000|0|1|3.63669268|30115.33333|770|7.608333333|0.09407810638230771|0
0|0|1|3|0|28000|1|2|4.15050313|42857.16667|796|5.604166667|0.20690438820481385|0
0|0|1|4|0|19000|0|1|4.82778981|41229.83333|740|5.91|0.03641370504783547|0
0|0|0|5|1|37000|1|1|4.8864339|40418.0|624|6.365083333|0.04789264983956462|0
0|1|1|5|0|20000|0|1|4.26439053|21536.0|706|8.66|0.07730439925353973|0
0|0|0|5|1|27000|0|3|4.3|44555.83333|686|5.981666667|0.5016728362790799|1
0|1|1|3|0|17000|0|1|3.52061247|30573.16667|640|7.733416667|0.14228211243207625|0
0|0|0|5|1|19000|0|2|5.39200968|40243.16667|689|6.096666667|0.20925113833536058|0
0|0|0|3|1|15000|0|1|3.78502178|30804.0|707|8.431666667|0.15509443460004294|0
0|0|1|3|1|23000|0|2|4.04175506|21536.0|789|8.66|0.20336209798905747|0
0|1|1|4|1|24000|0|2|3.66114181|20563.0|784|8.315833333|0.2826369120672144|0
0|1|1|4|1|16000|0|2|4.88226702|41912.16667|777|5.567416667|0.2926394800537664|0
0|1|1|5|1|29000|0|2|4.29406689|44425.83333|763|5.8425|0.174406764876313|0
0|0|0|5|1|26000|0|1|4.69723033|41661.66667|796|6.199|0.04192503504150503|0
0|0|1|5|0|19000|0|1|4.94922646|19439.0|722|8.024166667|0.030744501392062435|0
0|0|1|5|1|39000|1|3|4.72142055|22755.0|755|7.940833333|0.3408580986979569|0
0|0|1|3|1|28000|0|1|5.1950095|31577.33333|651|7.701083333|0.03742483074496956|0
0|1|1|4|1|39000|1|2|4.2|43587.5|718|6.165|0.2425997350845814|0
0|0|1|3|0|15000|0|1|4.86656602|37332.5|608|7.508333333|0.07469537187994714|0
0|0|1|5|1|18000|0|2|4.70796553|36093.16667|726|6.358333333|0.1388424054670132|0
0|0|1|3|1|20000|0|1|4.94922646|19439.0|746|8.024166667|0.046210184509659726|0
0|0|0|5|1|31000|0|1|4.3|44555.83333|793|5.981666667|0.03496041961836068|0
0|0|0|5|1|21000|0|1|4.8864339|40418.0|783|6.365083333|0.05298584167203069|0
0|1|0|3|0|19000|0|1|5.34449117|22755.0|650|7.940833333|0.16029013396343186|0
0|0|0|4|1|38000|1|3|5.22030741|36600.0|658|7.11|0.5669232272638778|1
0|0|0|4|1|32000|0|1|4.69723033|41661.66667|642|6.199|0.04171073135090385|0
0|0|0|4|1|16000|1|1|4.83260494|41912.16667|734|5.567416667|0.12792414261845647|0
0|1|0|3|1|19000|0|1|4.90678778|44426.0|688|5.095083333|0.14555063904046303|0
0|1|1|4|1|16000|0|2|3.71008358|27256.0|702|7.8225|0.38424289346712964|0
0|1|0|3|1|20000|0|2|3.14890585|30115.33333|623|7.608333333|0.564770081257614|1
0|1|1|5|0|22000|0|2|4.90678778|44426.0|645|5.095083333|0.190703328083982|0
0|1|1|5|1|33000|1|2|5.59830462|36109.5|772|6.61|0.21212924676841166|0
0|1|0|4|0|39000|1|1|5.35396094|31577.33333|708|7.701083333|0.10188938130816022|0
