Competidor,Fecha,Producto1,Producto2
Competidor1,2019-01-06,2408555.0,12372749.0
Competidor1,2019-01-13,2215418.0,12374756.3
Competidor1,2019-01-20,2167294.0,13203648.2
Competidor1,2019-01-27,2173777.0,12319799.4
Competidor1,2019-02-03,2312097.0,12948943.7
Competidor1,2019-02-10,2683980.0,13675593.3
Competidor1,2019-02-17,2104138.0,13000021.9
Competidor1,2019-02-24,2167522.0,12845307.2
Competidor1,2019-03-03,2166030.0,13276100.4
Competidor1,2019-03-10,2322196.0,14328218.0
Competidor1,2019-03-17,2305257.0,13249994.2
Competidor1,2019-03-24,2756588.0,12796389.7
Competidor1,2019-03-31,2106089.0,13148005.3
Competidor1,2019-04-07,2237618.0,14014492.8
Competidor1,2019-04-14,2348591.0,14142614.5
Competidor1,2019-04-21,2417455.0,14083436.3
Competidor1,2019-04-28,2577416.0,13481757.0
Competidor1,2019-05-05,2297571.0,14276340.9
Competidor1,2019-05-12,2448635.0,14777662.6
Competidor1,2019-05-19,2444579.0,14443062.2
Competidor1,2019-05-26,2788125.0,13895592.4
Competidor1,2019-06-02,2497743.0,14566013.5
Competidor1,2019-06-09,2933595.0,15832089.2
Competidor1,2019-06-16,2744821.0,15886483.5
Competidor1,2019-06-23,2874392.0,14843472.9
Competidor1,2019-06-30,2802894.0,15298803.2
Competidor1,2019-07-07,2617790.0,15036754.3
Competidor1,2019-07-14,2219878.0,13725744.6
Competidor1,2019-07-21,2231670.0,13914749.8
Competidor1,2019-07-28,2528017.0,14262570.7
Competidor1,2019-08-04,2195176.0,14638895.2
Competidor1,2019-08-11,2378160.0,15207538.0
Competidor1,2019-08-18,2373156.0,14352010.2
Competidor1,2019-08-25,2711972.0,13677915.4
Competidor1,2019-09-01,2205116.0,14631803.2
Competidor1,2019-09-08,2281552.0,14975104.2
Competidor1,2019-09-15,2335506.0,14242331.0
Competidor1,2019-09-22,2849308.0,13345894.2
Competidor1,2019-09-29,2057032.0,13779186.1
Competidor1,2019-10-06,2129059.0,14461866.6
Competidor1,2019-10-13,2201593.0,14494537.7
Competidor1,2019-10-20,2267255.0,14277696.8
Competidor1,2019-10-27,2429210.0,12757948.0
