Competidor,Fecha,Producto1,Tipo
Competidor1,06/01/19,2408555,Hist—rico
Competidor1,13/01/19,2215418,Hist—rico
Competidor1,20/01/19,2167294,Hist—rico
Competidor1,27/01/19,2173777,Hist—rico
Competidor1,03/02/19,2312097,Hist—rico
Competidor1,10/02/19,2683980,Hist—rico
Competidor1,17/02/19,2104138,Hist—rico
Competidor1,24/02/19,2167522,Hist—rico
Competidor1,03/03/19,2166030,Hist—rico
Competidor1,10/03/19,2322196,Hist—rico
Competidor1,17/03/19,2305257,Hist—rico
Competidor1,24/03/19,2756588,Hist—rico
Competidor1,31/03/19,2106089,Hist—rico
Competidor1,07/04/19,2237618,Hist—rico
Competidor1,14/04/19,2348591,Hist—rico
Competidor1,21/04/19,2417455,Hist—rico
Competidor1,28/04/19,2577416,Hist—rico
Competidor1,05/05/19,2297571,Hist—rico
Competidor1,12/05/19,2448635,Hist—rico
Competidor1,19/05/19,2444579,Hist—rico
Competidor1,26/05/19,2788125,Hist—rico
Competidor1,02/06/19,2497743,Hist—rico
Competidor1,09/06/19,2933595,Hist—rico
Competidor1,16/06/19,2744821,Hist—rico
Competidor1,23/06/19,2874392,Hist—rico
Competidor1,30/06/19,2802894,Hist—rico
Competidor1,07/07/19,2617790,Hist—rico
Competidor1,14/07/19,2219878,Hist—rico
Competidor1,21/07/19,2231670,Hist—rico
Competidor1,28/07/19,2528017,Hist—rico
Competidor1,04/08/19,2195176,Hist—rico
Competidor1,11/08/19,2378160,Hist—rico
Competidor1,18/08/19,2373156,Hist—rico
Competidor1,25/08/19,2711972,Hist—rico
Competidor1,01/09/19,2205116,Hist—rico
Competidor1,08/09/19,2281552,Hist—rico
Competidor1,15/09/19,2335506,Hist—rico
Competidor1,22/09/19,2849308,Hist—rico
Competidor1,29/09/19,2057032,Hist—rico
Competidor1,06/10/19,2129059,Hist—rico
Competidor1,13/10/19,2201593,Hist—rico
Competidor1,20/10/19,2267255,Hist—rico
Competidor1,27/10/19,2429210,Hist—rico
Competidor1,03/11/19,2045455,Hist—rico
Competidor1,10/11/19,2097655,Hist—rico
Competidor1,17/11/19,2147922,Hist—rico
Competidor1,24/11/19,2458697,Hist—rico
Competidor1,01/12/19,1968737,Hist—rico
Competidor1,08/12/19,2085037,Hist—rico
Competidor1,15/12/19,2071919,Hist—rico
Competidor1,22/12/19,2555088,Hist—rico
Competidor1,29/12/19,1967066,Hist—rico
Competidor1,05/01/20,2209195,Hist—rico
Competidor1,12/01/20,1857720,Hist—rico
Competidor1,19/01/20,1917617,Hist—rico
Competidor1,26/01/20,2203282,Hist—rico
Competidor1,02/02/20,1825344,Hist—rico
Competidor1,09/02/20,1943601,Hist—rico
Competidor1,16/02/20,2040300,Hist—rico
Competidor1,23/02/20,2448399,Hist—rico
Competidor1,01/03/20,1847309,Hist—rico
Competidor1,08/03/20,1970381,Hist—rico
Competidor1,15/03/20,2100370,Hist—rico
Competidor1,22/03/20,2923950,Hist—rico
Competidor1,29/03/20,1942729,Hist—rico
Competidor1,05/04/20,1792980,Hist—rico
Competidor1,12/04/20,2006793,Hist—rico
Competidor1,19/04/20,2040103,Hist—rico
Competidor1,26/04/20,2404684,Hist—rico
Competidor1,03/05/20,2163629,Hist—rico
Competidor1,10/05/20,2223112,Hist—rico
Competidor1,17/05/20,2219193,Hist—rico
Competidor1,24/05/20,2613465,Hist—rico
Competidor1,07/06/20,2282345,Hist—rico
Competidor1,14/06/20,2801913,Hist—rico
Competidor1,21/06/20,2269025,Hist—rico
Competidor1,28/06/20,2190131,Hist—rico
Competidor1,05/07/20,2274159,Hist—rico
Competidor1,12/07/20,2577985,Hist—rico
Competidor1,19/07/20,2090887,Hist—rico
Competidor1,26/07/20,2127582,Hist—rico
Competidor1,02/08/20,2255676,Hist—rico
Competidor1,09/08/20,2289936,Hist—rico
Competidor1,16/08/20,2326463,Hist—rico
Competidor1,23/08/20,2634595,Hist—rico
Competidor1,06/09/20,2095796,Hist—rico
Competidor1,13/09/20,2289671,Hist—rico
Competidor1,20/09/20,2540523,Hist—rico
Competidor1,27/09/20,2054276,Hist—rico
Competidor1,30/09/20,2107841,Hist—rico
Competidor1,04/10/20,1990379,Hist—rico
Competidor1,11/10/20,2067769,Hist—rico
Competidor1,18/10/20,2090085,Hist—rico
Competidor1,25/10/20,2274366,Hist—rico
Competidor1,01/11/20,2050561,Hist—rico
Competidor1,08/11/20,1941696,Hist—rico
Competidor1,15/11/20,2014919,Hist—rico
Competidor1,22/11/20,2338296,Hist—rico
Competidor1,06/12/20,2298017,Hist—rico
Competidor1,13/12/20,2941173,Hist—rico
Competidor1,20/12/20,2512006,Hist—rico
Competidor1,27/12/20,2357601,Hist—rico
Competidor1,29/12/20,1920731,Hist—rico
Competidor1,03/01/21,1731056,Hist—rico
Competidor1,10/01/21,1821141,Hist—rico
Competidor1,17/01/21,2030890,Hist—rico
Competidor1,24/01/21,2316383,Hist—rico
Competidor1,07/02/21,2095297,Hist—rico
Competidor1,14/02/21,2143536,Hist—rico
Competidor1,21/02/21,2388093,Hist—rico
Competidor1,28/02/21,1671139,Hist—rico
Competidor1,04/03/21,1836008,Hist—rico
Competidor1,07/03/21,1790539,Hist—rico
Competidor1,14/03/21,1969638,Hist—rico
Competidor1,21/03/21,2396427,Hist—rico
Competidor1,28/03/21,1810606,Hist—rico
Competidor1,02/04/21,1985323,Hist—rico
Competidor1,11/04/21,1952488,Hist—rico
Competidor1,18/04/21,2142586,Hist—rico
Competidor1,25/04/21,2189597,Hist—rico
Competidor1,09/05/21,2215747,Hist—rico
Competidor1,16/05/21,2131680,Hist—rico
Competidor1,23/05/21,2302016,Hist—rico
Competidor1,30/05/21,2042078,Hist—rico
Competidor1,04/06/21,2083929,Hist—rico
Competidor1,06/06/21,2145057,Hist—rico
Competidor1,13/06/21,2528302,Hist—rico
Competidor1,20/06/21,2651919,Hist—rico
Competidor1,27/06/21,2235495,Hist—rico
Competidor1,01/07/21,1989705,Hist—rico
Competidor1,11/07/21,2009254,Hist—rico
Competidor1,18/07/21,2106822,Hist—rico
Competidor1,25/07/21,2253936,Hist—rico
Competidor1,08/08/21,2117970,Hist—rico
Competidor1,15/08/21,2139386,Hist—rico
Competidor1,22/08/21,2351777,Hist—rico
Competidor1,29/08/21,1972124,Hist—rico
Competidor1,03/09/21,1881393.1,Hist—rico
Competidor1,05/09/21,1961880,Hist—rico
Competidor1,12/09/21,2067022.1,Hist—rico
Competidor1,19/09/21,2440135,Hist—rico
Competidor1,26/09/21,1906501,Hist—rico
Competidor1,10/10/21,1976222.2,Hist—rico
Competidor1,17/10/21,1995880,Hist—rico
Competidor1,24/10/21,2043958.2,Hist—rico
Competidor1,31/10/21,1968132.1,Hist—rico
Competidor1,07/11/21,2259683,Hist—rico
Competidor1,14/11/21,1961990,Hist—rico
Competidor1,21/11/21,2106292,Hist—rico
Competidor1,28/11/21,1607038,Hist—rico
Competidor1,02/12/21,1657209,Hist—rico
Competidor1,05/12/21,1785639,Hist—rico
Competidor1,12/12/21,1767723,Hist—rico
Competidor1,19/12/21,2104243,Hist—rico
Competidor1,26/12/21,1630316,Hist—rico
Competidor1,09/01/22,1968826,Hist—rico
Competidor1,16/01/22,1842275,Hist—rico
Competidor1,23/01/22,1572706,Hist—rico
Competidor1,30/01/22,1579806,Hist—rico
Competidor1,06/02/22,1642545,Hist—rico
