Competidor,Fecha,Pronóstico
Competidor1,2022-05-08,2099675.718849686
Competidor1,2022-05-15,1710397.5920607997
Competidor1,2022-05-22,1828872.0454289871
Competidor1,2022-05-29,1934826.1542892929
Competidor1,2022-06-05,2263154.7404621677
Competidor1,2022-06-12,1882442.5523899072
Competidor1,2022-06-19,1833995.1881764277
Competidor1,2022-06-26,1979356.9259798918
Competidor1,2022-07-03,1900734.2154377252
Competidor1,2022-07-10,2070370.5389538778
Competidor1,2022-07-17,2100144.0223756665
Competidor1,2022-07-24,2192939.158016087
Competidor1,2022-07-31,2029671.2248424073
Competidor1,2022-08-07,2114606.9815066657
Competidor1,2022-08-14,2007089.1130339138
Competidor1,2022-08-21,2288421.7475226154
Competidor1,2022-08-28,2054659.469704211
Competidor1,2022-09-04,2066043.1439745298
Competidor1,2022-09-11,2157714.25191227
Competidor1,2022-09-18,2058224.7340116939
Competidor1,2022-09-25,1845998.8968404382
Competidor1,2022-10-02,1898996.506973081
Competidor1,2022-10-09,2134775.5912726903
Competidor1,2022-10-16,1874094.0665324165
Competidor1,2022-10-23,1945795.6606729587
Competidor1,2022-10-30,2036447.2660414104
Competidor1,2022-11-06,1972521.874854226
Competidor1,2022-11-13,1899799.5893367997
Competidor1,2022-11-20,2095693.2197435442
Competidor1,2022-11-27,1858001.5646513626
Competidor10,2022-05-08,43991667.87632098
Competidor10,2022-05-15,42919028.94555387
Competidor10,2022-05-22,46329778.2575881
Competidor10,2022-05-29,45769197.42237531
Competidor10,2022-06-05,46777441.160981975
Competidor10,2022-06-12,46267077.70317255
Competidor10,2022-06-19,44945886.443261266
Competidor10,2022-06-26,45142574.71499985
Competidor10,2022-07-03,46861683.73498098
Competidor10,2022-07-10,45689002.31117955
Competidor10,2022-07-17,47270267.492782705
Competidor10,2022-07-24,46775882.5483243
Competidor10,2022-07-31,46653641.58201233
Competidor10,2022-08-07,47451014.44123209
Competidor10,2022-08-14,46951914.91747427
Competidor10,2022-08-21,47718298.0798199
Competidor10,2022-08-28,47884044.95216741
Competidor10,2022-09-04,47201503.314182185
Competidor10,2022-09-11,48005731.924139656
Competidor10,2022-09-18,46719054.77553659
Competidor10,2022-09-25,46896331.30380207
Competidor10,2022-10-02,45694675.343381554
Competidor10,2022-10-09,46275432.06117784
Competidor10,2022-10-16,45475535.360502265
Competidor10,2022-10-23,46224962.369635545
