,SistemaBancario,BBVA,Santander,banorte,banamex,HSBC,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
2025-01-31,2170851.541062403,631933.0624802236,876168.0937145515,313425.3991287884,228029.35247328575,121295.63326555412,201625.82860963503,202444.485634581,227862.74823600758,147294.23550553198,428818.23709119373,300055.6211178258,208543.66647299676,14216.406858462238,90665.32579732941,76009.78415776149,76009.78415776188,76009.78415776236,40431.87775518475,40431.877755185014,40431.87775518436
2025-02-28,2186153.8738480257,633066.5851397946,883895.9304868849,315366.39754072874,231622.1313307261,122202.82934989083,201575.83862179855,203419.58816912587,228071.15834887026,149726.0167236828,431465.21999497374,302704.69376822846,212046.55026675801,13172.464193553133,90147.38308041757,77207.3771102416,77207.377110242,77207.37711024251,40734.27644996366,40734.2764499639,40734.27644996326
2025-03-31,2201006.186558327,634613.722086952,891997.7287846578,315216.65710674494,235551.6954565681,123626.38312340435,201915.3494243334,204213.29637512643,228485.07628749212,152393.74267659092,434182.02301143174,305421.9630966352,209072.53954027424,14746.801061986193,91397.31650448454,78517.23181885561,78517.231818856,78517.23181885648,41208.794374468176,41208.794374468416,41208.79437446775
2025-04-30,2216382.8665524647,635750.1494586755,899714.4076134674,317130.4033415714,239087.25436678805,124700.65177196258,202209.1928652266,204743.41900606756,228797.53758738135,154958.44458958716,436757.96455711586,307997.9984667644,212675.78722817314,13802.47741567208,90652.13869772619,79695.75145559557,79695.75145559598,79695.7514555965,41566.88392398759,41566.88392398784,41566.88392398717
2025-05-31,2231272.2865547906,637235.0493815226,907797.9607582104,317100.909137724,242987.5285534637,126150.83872386985,202658.20887522225,205325.89149541938,229250.94901088093,157651.23573460753,439453.3366484316,310693.3883751712,209675.44504602326,15349.051928961208,92076.41216273957,80995.84285115411,80995.84285115454,80995.84285115504,42050.27957462333,42050.27957462359,42050.27957462293
2025-06-30,2246656.5896200407,638336.0985687634,915510.1987931475,319062.3753231871,246515.9107608811,127232.00617406222,202998.86183346115,205744.62543577023,229592.61129953194,160221.5848979756,442024.2794535077,313264.3344416642,213335.0689489336,14462.42010731745,91264.88626693607,82171.9702536266,82171.97025362699,82171.9702536275,42410.66872468746,42410.66872468771,42410.66872468706
2025-07-31,2261561.277075018,639788.7425461429,923581.6261476054,319114.6757213772,250403.27502927824,128672.9576306137,203467.5602440579,206259.64405806988,230061.53824401507,162911.96936643336,444714.8006054412,315954.8561757308,210337.4800248107,16010.426372868214,92766.76932369827,83467.75834309231,83467.75834309272,83467.75834309321,42890.9858768713,42890.98587687154,42890.985876870865
2025-08-31,2276953.1681284276,640870.7845869294,931287.0424788109,321122.76998040034,253924.5069874606,129748.06409482633,203819.01581516606,206638.72359251045,230413.04517925286,165480.42044894287,447283.2831787764,318523.33885109157,214027.359712859,15155.37132813293,91940.03893940839,84641.50232915311,84641.50232915349,84641.502329154,43249.35469827549,43249.35469827575,43249.354698275085
2025-09-30,2291868.6474343776,642306.7646907363,939349.1393879071,321230.515977117,257802.3181801826,131179.9091984348,204292.16977000618,207128.38428766638,230886.2106330637,168167.78124069396,449970.6512286303,321210.7069185829,211039.55693613784,16711.842924218126,93479.11611676104,85934.10606006043,85934.10606006082,85934.10606006136,43726.636399478324,43726.63639947858,43726.6363994779
2025-10-31,2307267.8003345826,643377.7225633573,947047.8482827739,323277.18767800665,261316.6446364908,132248.39717395423,204645.86456261427,207491.95000622462,231239.90799451846,170734.01642245922,452536.8880836726,323776.9437766421,214747.29622130914,15875.968100663129,92653.9233560344,87105.54821216316,87105.54821216356,87105.54821216408,44082.799057984805,44082.79905798505,44082.79905798439
