,Fecha,Tipo,Credito_SistemaBancario,Consumo_SistemaBancario,Vivienda_SistemaBancario,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
0,2022-01-01,Actual,5606300.0,1379240.0,1302162.0,1334279.0,415122.0,329198.0,764704.0,177653.0,219278.0,821738.0,171771.0,250953.0,551687.0,193632.0,69236.0,392538.0,98881.0,141092.0
1,2022-02-01,Actual,5622316.0,1601869.0,1396540.0,1336382.0,475451.0,357795.0,763349.0,194633.0,233647.0,824204.0,193056.0,267104.0,554041.0,214315.0,71639.0,395569.0,105928.0,151547.0
2,2022-03-01,Actual,5677221.0,1618451.0,1406113.0,1362370.0,480562.0,359991.0,770440.0,196209.0,235577.0,821472.0,195971.0,268808.0,560663.0,215811.0,72803.0,392305.0,106312.0,152027.0
3,2022-04-01,Actual,5767031.0,1431934.0,1331484.0,1378537.0,433163.0,337516.0,782054.0,180387.0,223922.0,833368.0,175493.0,255315.0,570510.0,203013.0,68858.0,398891.0,102264.0,146116.0
4,2022-05-01,Actual,5825719.0,1697337.0,1424642.0,1408410.0,501924.0,366731.0,784134.0,205749.0,238532.0,836021.0,203460.0,272886.0,565689.0,232963.0,74356.0,401918.0,109821.0,152827.0
5,2022-06-01,Actual,5890638.0,1694265.0,1432357.0,1427985.0,500134.0,368911.0,783466.0,205039.0,240141.0,853251.0,203054.0,274789.0,572148.0,228863.0,75873.0,405534.0,107296.0,153221.0
6,2022-07-01,Actual,5934894.0,1395901.0,1309954.0,1445363.0,422147.0,331500.0,794514.0,178708.0,220403.0,858058.0,173325.0,252471.0,566932.0,194475.0,68880.0,404757.0,99966.0,142634.0
7,2022-08-01,Actual,5947750.0,1618451.0,1406113.0,1449169.0,480562.0,359991.0,791320.0,196209.0,235577.0,860941.0,195971.0,268808.0,570029.0,215811.0,72803.0,407748.0,106312.0,152027.0
8,2022-09-01,Actual,6019857.0,1641999.0,1414352.0,1467475.0,487381.0,363233.0,802319.0,198833.0,236885.0,864877.0,198684.0,270698.0,561461.0,220365.0,73405.0,422953.0,107109.0,152457.0
9,2022-10-01,Actual,6129452.0,1229677.0,1223348.0,1486982.0,370908.0,311411.0,817963.0,150869.0,210902.0,877609.0,150237.0,230279.0,584520.0,178713.0,70017.0,433052.0,86863.0,125009.0
10,2022-11-01,Actual,6183634.0,1431934.0,1331484.0,1504325.0,433163.0,337516.0,814765.0,180387.0,223922.0,887874.0,175493.0,255315.0,577780.0,203013.0,68858.0,429204.0,102264.0,146116.0
11,2022-12-01,Actual,6240117.0,1435639.0,1335506.0,1516177.0,437500.0,338592.0,810082.0,179322.0,224116.0,905914.0,176248.0,255340.0,580343.0,201142.0,69504.0,418145.0,101859.0,146362.0
12,2023-01-01,Actual,6252777.0,1435387.0,1335506.0,1525553.0,437500.0,338592.0,813820.0,179322.0,224116.0,915745.0,176248.0,255340.0,581928.0,201142.0,69504.0,420023.0,101859.0,146362.0
13,2023-01-01,Actual,6252811.0,1250817.0,1241869.0,1525553.0,378194.0,316449.0,813820.0,156323.0,212372.0,915745.0,154302.0,235888.0,581928.0,180382.0,70433.0,420023.0,89328.0,129338.0
14,2023-02-01,Actual,6284588.0,1493801.0,1352107.0,1532375.0,442854.0,344412.0,821272.0,184495.0,226389.0,927389.0,178473.0,257921.0,578521.0,204717.0,70517.0,423628.0,102838.0,148339.0
15,2023-03-01,Actual,6348032.0,1292708.0,1261467.0,1547131.0,388855.0,320381.0,810655.0,162723.0,213172.0,939279.0,160943.0,240696.0,595755.0,184081.0,70866.0,430546.0,91826.0,133546.0
16,2023-04-01,Actual,6396909.0,1319416.0,1272392.0,1573323.0,396415.0,322650.0,813629.0,166557.0,214845.0,939526.0,164709.0,243498.0,598993.0,188589.0,70771.0,435423.0,93640.0,135755.0
17,2023-05-01,Actual,6411147.0,1334225.0,1283546.0,1573740.0,401849.0,324546.0,818178.0,170785.0,216254.0,947124.0,166761.0,245982.0,588447.0,188881.0,71075.0,436819.0,95104.0,137800.0
18,2023-06-01,Actual,6425057.0,1356725.0,1291143.0,1580644.0,408937.0,326684.0,820687.0,173656.0,217387.0,956124.0,169172.0,248731.0,590102.0,191666.0,69049.0,438794.0,96729.0,139603.0
19,2023-07-01,Actual,6528647.0,1217660.0,1218094.0,1607619.0,366527.0,310821.0,831843.0,149105.0,210807.0,970960.0,147877.0,228797.0,596012.0,178374.0,69120.0,451358.0,85868.0,123938.0
20,2023-08-01,Actual,6570658.0,1224408.0,1206865.0,1621783.0,369094.0,309102.0,831245.0,149752.0,209449.0,980531.0,148002.0,225671.0,597849.0,180243.0,69022.0,447362.0,86437.0,120834.0
21,2023-09-01,Actual,6658265.0,1181339.0,1194868.0,1633966.0,356206.0,306882.0,847315.0,144256.0,208378.0,994817.0,143955.0,222883.0,609267.0,169855.0,68284.0,450664.0,82909.0,118743.0
22,2023-10-01,Actual,6718415.0,1160534.0,1186377.0,1652271.0,350421.0,304796.0,842695.0,141359.0,207704.0,1008702.0,141200.0,219943.0,614760.0,167593.0,68687.0,459058.0,82040.0,116999.0
23,2023-11-01,Actual,6797472.0,1379240.0,1302162.0,1678234.0,415122.0,329198.0,862784.0,177653.0,219278.0,1012871.0,171771.0,250953.0,621452.0,193632.0,69236.0,463031.0,98881.0,141092.0
24,2023-12-01,Actual,6793609.0,1144898.0,1172712.0,1679063.0,345123.0,302439.0,862275.0,138615.0,206000.0,991040.0,138832.0,215994.0,606133.0,166650.0,68202.0,468773.0,81238.0,115635.0
25,2024-01-01,Actual,6780500.0,1127498.0,1162035.0,1676991.0,338237.0,300003.0,864801.0,136420.0,204477.0,996684.0,136008.0,212192.0,600881.0,165671.0,68778.0,469461.0,80642.0,114146.0
26,2024-02-01,Actual,6787834.0,1113428.0,1137054.0,1686038.0,334777.0,293210.0,869236.0,133984.0,200925.0,988435.0,134323.0,207225.0,597397.0,164034.0,69094.0,471452.0,79682.0,110441.0
27,2024-03-01,Actual,6911457.0,1319416.0,1261467.0,1690553.0,396415.0,320381.0,868385.0,166557.0,213172.0,1005815.0,164709.0,240696.0,601552.0,188589.0,70866.0,478853.0,93640.0,133546.0
