Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
244.172,198.204,290.139,23.453,92582.145,10.411,0.0,***
254.989,190.687,319.291,32.808,92289.969,7.772,0.0,***
379.236,333.776,424.696,23.194,92401.864,16.351,0.0,***
-365.532,-414.904,-316.159,25.191,92694.95,-14.511,0.0,***
260.243,200.872,319.613,30.292,92327.344,8.591,0.0,***
413.054,348.163,477.946,33.109,92685.792,12.476,0.0,***
524.496,478.911,570.081,23.258,92610.176,22.551,0.0,***
583.746,537.226,630.266,23.735,92680.948,24.594,0.0,***
615.967,570.254,661.68,23.323,92626.3,26.41,0.0,***
403.13,343.733,462.526,30.305,92441.49,13.302,0.0,***
468.411,408.025,528.797,30.81,92505.827,15.203,0.0,***
491.446,431.889,551.004,30.387,92473.576,16.173,0.0,***
515.048,455.213,574.884,30.529,92470.237,16.871,0.0,***
639.111,593.488,684.735,23.278,92626.817,27.456,0.0,***
633.922,588.123,679.721,23.367,92627.761,27.129,0.0,***
677.572,631.566,723.578,23.473,92633.277,28.866,0.0,***
503.229,443.792,562.665,30.325,92453.054,16.594,0.0,***
508.819,449.06,568.579,30.49,92471.506,16.688,0.0,***
549.073,488.997,609.15,30.652,92474.409,17.913,0.0,***
612.63,552.378,672.881,30.741,92463.979,19.929,0.0,***
762.711,717.096,808.325,23.273,92629.712,32.772,0.0,***
822.364,776.197,868.53,23.555,92636.171,34.913,0.0,***
916.498,869.232,963.765,24.116,92662.916,38.004,0.0,***
626.83,567.387,686.274,30.329,92457.098,20.668,0.0,***
690.93,630.708,751.152,30.726,92478.225,22.487,0.0,***
812.198,749.011,875.385,32.239,92473.957,25.193,0.0,***
926.001,880.318,971.685,23.308,92640.412,39.728,0.0,***
784.6,725.078,844.121,30.369,92461.922,25.836,0.0,***
892.45,811.066,973.834,41.523,92269.789,21.493,0.0,***
1040.754,995.081,1086.426,23.303,92654.272,44.662,0.0,***
897.066,837.516,956.615,30.383,92476.45,29.525,0.0,***
1155.623,1109.909,1201.337,23.324,92681.18,49.547,0.0,***
1006.857,947.315,1066.399,30.379,92489.215,33.143,0.0,***
1179.091,1097.808,1260.374,41.472,92265.076,28.431,0.0,***
1320.382,1274.596,1366.168,23.361,92697.847,56.522,0.0,***
1170.583,1110.887,1230.28,30.458,92513.542,38.433,0.0,***
1426.062,1310.698,1541.425,58.86,92247.926,24.228,0.0,***
1548.696,1502.883,1594.509,23.374,92731.657,66.256,0.0,***
1572.019,1512.269,1631.769,30.485,92559.888,51.566,0.0,***
2331.259,2285.274,2377.243,23.462,92894.698,99.364,0.0,***
2813.058,2766.627,2859.489,23.69,93159.487,118.745,0.0,***
2270.583,2210.765,2330.401,30.52,92672.712,74.397,0.0,***
2894.868,2834.347,2955.388,30.878,92951.397,93.75,0.0,***
2670.493,2408.019,2932.966,133.918,1760.798,19.941,0.0,***
2849.529,2799.951,2899.108,25.296,87548.534,112.649,0.0,***
2791.856,2742.869,2840.844,24.994,93337.466,111.701,0.0,***
4168.385,4117.542,4219.228,25.941,91399.856,160.689,0.0,***
4269.761,4218.026,4321.497,26.396,65839.71,161.756,0.0,***
2960.037,2895.791,3024.283,32.779,89133.821,90.302,0.0,***
3168.772,3104.013,3233.53,33.041,93412.703,95.906,0.0,***
4280.784,4217.61,4343.958,32.232,93333.698,132.811,0.0,***
4545.51,4480.808,4610.212,33.012,80574.804,137.693,0.0,***
-515.386,-577.995,-452.778,31.944,92467.267,-16.134,0.0,***
399.261,353.915,444.608,23.136,92398.909,17.257,0.0,***
-264.953,-314.484,-215.422,25.271,92670.434,-10.484,0.0,***
277.507,218.217,336.798,30.251,92323.792,9.174,0.0,***
4814.666,4572.373,5056.959,123.621,1278.941,38.947,0.0,***
4872.561,4624.594,5120.527,126.516,1402.979,38.513,0.0,***
-408.189,-470.622,-345.757,31.854,92462.689,-12.814,0.0,***
404.018,358.44,449.595,23.254,92409.739,17.374,0.0,***
-208.056,-257.258,-158.854,25.103,92666.859,-8.288,0.0,***
278.912,219.205,338.618,30.463,92326.89,9.156,0.0,***
-342.749,-405.518,-279.98,32.026,92456.921,-10.702,0.0,***
264.17,175.163,353.176,45.413,92811.219,5.817,0.0,***
396.9,351.142,442.658,23.346,92443.354,17.0,0.0,***
-124.602,-173.414,-75.789,24.905,92687.691,-5.003,0.0,***
283.683,224.14,343.227,30.38,92287.228,9.338,0.0,***
-261.565,-324.142,-198.988,31.928,92466.983,-8.192,0.0,***
413.435,367.822,459.049,23.273,92475.355,17.765,0.0,***
-41.535,-90.495,7.424,24.98,92680.207,-1.663,0.096,.
281.348,221.694,341.002,30.436,92367.037,9.244,0.0,***
-179.898,-242.603,-117.192,31.993,92472.369,-5.623,0.0,***
272.886,191.354,354.417,41.599,92236.874,6.56,0.0,***
405.62,360.055,451.184,23.248,92562.795,17.448,0.0,***
40.985,-8.292,90.263,25.142,92666.967,1.63,0.103,
273.631,214.23,333.033,30.307,92408.338,9.029,0.0,***
-94.253,-157.54,-30.966,32.29,92450.382,-2.919,0.004,**
280.834,199.583,362.085,41.455,92244.751,6.774,0.0,***
420.68,375.059,466.3,23.276,92563.83,18.073,0.0,***
117.645,68.028,167.263,25.316,92665.158,4.647,0.0,***
292.436,232.944,351.927,30.353,92408.917,9.634,0.0,***
6.682,-57.875,71.238,32.938,92511.429,0.203,0.839,
312.366,246.896,377.836,33.404,92353.684,9.351,0.0,***
448.794,403.253,494.334,23.236,92567.972,19.315,0.0,***
445.524,399.364,491.684,23.552,92538.868,18.917,0.0,***
261.81,212.345,311.275,25.238,92699.663,10.374,0.0,***
322.145,262.778,381.512,30.29,92430.017,10.635,0.0,***
324.517,264.57,384.463,30.586,92417.417,10.61,0.0,***
114.393,50.85,177.937,32.421,92454.645,3.528,0.0,***
355.143,284.248,426.037,36.171,93240.611,9.818,0.0,***
490.333,444.786,535.881,23.239,92589.678,21.1,0.0,***
446.474,397.306,495.643,25.086,92437.758,17.797,0.0,***
510.609,464.007,557.21,23.777,92640.506,21.475,0.0,***
358.069,298.706,417.432,30.288,92429.756,11.822,0.0,***
350.609,283.641,417.577,34.168,92317.384,10.261,0.0,***
383.443,323.165,443.72,30.754,92484.036,12.468,0.0,***
521.584,464.521,578.648,29.115,92431.073,17.915,0.0,***
551.328,444.572,658.083,54.468,92178.469,10.122,0.0,***
610.216,553.242,667.191,29.069,92436.713,20.992,0.0,***
632.703,569.956,695.45,32.014,92368.576,19.763,0.0,***
657.471,550.291,764.651,54.685,92165.49,12.023,0.0,***
811.647,728.632,894.662,42.355,92274.031,19.163,0.0,***
908.777,802.319,1015.235,54.316,92156.923,16.731,0.0,***
1018.865,936.945,1100.785,41.797,92243.84,24.377,0.0,***
1124.486,1017.159,1231.813,54.76,92170.35,20.535,0.0,***
1548.38,1439.322,1657.439,55.643,92266.222,27.827,0.0,***
2368.075,2261.447,2474.703,54.403,92173.192,43.528,0.0,***
2897.869,2788.728,3007.009,55.685,92368.768,52.04,0.0,***
389.289,307.42,471.159,41.771,92156.405,9.32,0.0,***
409.141,342.951,475.331,33.771,92215.222,12.115,0.0,***
403.771,297.359,510.183,54.293,92110.619,7.437,0.0,***
394.946,312.853,477.039,41.885,92200.199,9.429,0.0,***
397.506,321.749,473.262,38.652,93322.014,10.284,0.0,***
412.465,329.952,494.978,42.099,92231.13,9.797,0.0,***
438.276,372.02,504.532,33.805,92304.263,12.965,0.0,***
506.604,424.151,589.058,42.069,92248.65,12.042,0.0,***
483.234,416.72,549.748,33.936,92331.64,14.239,0.0,***
-70.62,-75.759,-65.481,2.622,85430.466,-26.935,0.0,***
696.981,669.132,724.831,14.209,38004.182,49.051,0.0,***
-63.327,-70.156,-56.497,3.485,92265.112,-18.174,0.0,***
51.052,12.647,89.457,19.595,92361.805,2.605,0.009,**
846.591,798.965,894.216,24.299,83014.417,34.84,0.0,***
122.336,84.274,160.398,19.42,92199.965,6.3,0.0,***
